ALT
ANA
ARI
ATL
BAL
BFN
BFP
BL1
BL2
BL3
BL4
BLA
BLF
BLN
BLU
BOS
BR1
BR2
BR3
BR4
BRF
BRO
BRP
BS1
BS2
BSN
BSP
BSU
BUF
CAL
CH1
CH2
CHA
CHF
CHN
CHP
CHU
CIN
CL1
CL2
CL3
CL4
CL5
CL6
CLE
CLP
CN1
CN2
CN3
CNU
COL
DET
DTN
ELI
FLO
FW1
HAR
HOU
HR1
IN1
IN2
IN3
IND
KC1
KC2
KCA
KCF
KCN
KCR
KCU
KEO
LAA
LAN
LS1
LS2
LS3
MIA
MID
MIL
MIN
ML1
ML2
ML3
ML4
MLA
MLU
MON
NEW
NH1
NY1
NY2
NY3
NY4
NYA
NYN
NYP
OAK
PH1
PH2
PH3
PH4
PHA
PHI
PHN
PHP
PHU
PIT
PRO
PT1
PTF
PTP
RC1
RC2
RIC
SDN
SE1
SEA
SFN
SL1
SL2
SL3
SL4
SL5
SLA
SLF
SLN
SLU
SPU
SR1
SR2
TBA
TEX
TL1
TL2
TOR
TRN
TRO
WAS
WIL
WOR
WS1
WS2
WS3
WS4
WS5
WS6
WS7
WS8
WS9
WSN
WSU
