PlayerName,Team
Albert Belle,"[BAL, CHA, CLE]"
Alberto Callaspo,"[ARI, KCA, LAA, OAK]"
Alberto Castillo,"[ARI, BAL, KCA, NYA, NYN, OAK, SFN, SLN, TOR]"
Alberto Gonzalez,"[CHN, NYA, SDN, TEX, WAS]"
Alberto Reyes,"[BAL, LAN, MIL, ML4, NYA, PIT, SLN, TBA]"
Albie Lopez,"[ARI, ATL, CLE, KCA, TBA]"
Albie Pearson,"[BAL, CAL, LAA, WS1]"
Alcides Escobar,"[KCA, KCR, MIL]"
Aleck Smith,"[BLA, BLN, BOS, BRO, CHN, NY1]"
Alejandro Pe̱a,"[ATL, BOS, FLO, LAN, NYN, PIT]"
Alejandro Sanchez,"[DET, MIN, OAK, PHI, SFN]"
Alex Arias,"[CHN, FLO, NYA, PHI, SDN]"
Alex Burnett,"[BAL, CHN, MIN]"
Alex Cintron,"[ARI, BAL, CHA, WAS]"
Alex Cole,"[BOS, CLE, COL, MIN, PIT]"
Alex Cora,"[BOS, CLE, LAN, NYN, TEX, WAS]"
Alex Diaz,"[HOU, ML4, SEA, SFN, TEX]"
Alex Escobar,"[CLE, NYN, WAS]"
Alex Ferguson,"[BOS, BRO, NYA, PHI, WS1]"
Alex Ferson,"[BFP, BLN, WS8]"
Alex Gonzalez,"[ATL, BOS, CHN, CIN, DET, FLO, MIL, MON, PHI, SDN, TBA, TOR]"
Alex Grammas,"[CHN, CIN, SLN]"
Alex Johnson,"[CAL, CIN, CLE, DET, NYA, PHI, SLN, TEX]"
Alex Jones,"[DET, LS3, PHI, PIT, WSN]"
Alex Kampouris,"[BRO, CIN, NY1, WS1]"
Alex Kellner,"[CIN, KC1, PHA, SLN]"
Alex Main,"[DET, KCF, PHI]"
Alex McKinnon,"[NY1, PIT, SL5]"
Alex Metzler,"[CHA, CHN, PHA, SLA]"
Alex Ochoa,"[ANA, CIN, COL, MIL, MIN, NYN]"
Alex Presley,"[HOU, MIN, PIT]"
Alex Rios,"[CHA, TEX, TOR]"
Alex Rodriguez,"[NYA, SEA, TEX]"
Alex Sanchez,"[DET, MIL, SFN, TBA, TOR]"
Alex Trevino,"[ATL, CIN, HOU, LAN, NYN, SFN]"
Alfonso Soriano,"[CHN, NYA, TEX, WAS]"
Alfredo Amezaga,"[ANA, COL, FLO, PIT]"
Alfredo Griffin,"[CLE, LAN, OAK, TOR]"
Algie McBride,"[CHN, CIN, NY1]"
Allan Simpson,"[CIN, COL, MIL]"
Allan Sothoron,"[BOS, CLE, SLA, SLN]"
Allen McDill,"[BOS, DET, KCA]"
Allen Ripley,"[BOS, CHN, SFN]"
Allen Russell,"[BOS, NYA, WS1]"
Allen Watson,"[ANA, NYA, NYN, SEA, SFN, SLN]"
Allie Clark,"[CHA, CLE, NYA, PHA]"
Allyn Stout,"[BSN, CIN, NY1, SLN]"
Alvaro Espinoza,"[CLE, MIN, NYA, NYN, SEA]"
Alvin Morman,"[CLE, HOU, KCA, SFN]"
Amaury Telemaco,"[ARI, CHN, PHI]"
Amos Booth,"[BL2, CN1, LS2]"
Amos Otis,"[KCA, NYN, PIT]"
Amos Rusie,"[CIN, IN3, NY1]"
Amos Strunk,"[BOS, CHA, PHA]"
Anderson Hernandez,"[CLE, HOU, NYN, WAS]"
Anderson Machado,"[CIN, COL, PHI]"
Andre Dawson,"[BOS, CHN, FLO, MON]"
Andre Rodgers,"[CHN, NY1, PIT, SFN]"
Andre Thornton,"[CHN, CLE, MON]"
Andres Blanco,"[CHN, KCA, PHI, TEX]"
Andres Galarraga,"[ANA, ATL, COL, MON, SFN, SLN, TEX]"
Andres Torres,"[DET, NYN, SFN, TEX]"
Andrew Brown,"[CLE, COL, NYN, OAK, SLN]"
Andrew Lorraine,"[CAL, CHA, CHN, CLE, MIL, OAK, SEA]"
Andrew Miller,"[BOS, DET, FLO]"
Andruw Jones,"[ATL, CHA, LAN, NYA, TEX]"
Andujar Cedeno,"[DET, HOU, SDN]"
Andy Abad,"[BOS, CIN, OAK]"
Andy Allanson,"[CAL, CLE, DET, ML4, SFN]"
Andy Ashby,"[ATL, COL, LAN, PHI, SDN]"
Andy Benes,"[ARI, SDN, SEA, SLN]"
Andy Carey,"[CHA, KC1, LAN, NYA]"
Andy Coakley,"[CHN, CIN, NYA, PHA]"
Andy Etchebarren,"[BAL, CAL, ML4]"
Andy Fox,"[ARI, FLO, MON, NYA, TEX]"
Andy Gonzalez,"[CHA, CLE, FLO]"
Andy Hassler,"[BOS, CAL, KCA, NYN, PIT, SLN]"
Andy Hawkins,"[NYA, OAK, SDN]"
Andy High,"[BRO, BSN, CIN, PHI, SLN]"
Andy Karl,"[BOS, BSN, PHI]"
Andy Kosco,"[BOS, CAL, CIN, LAN, MIN, ML4, NYA]"
Andy LaRoche,"[LAN, OAK, PIT, TOR]"
Andy Larkin,"[CIN, FLO, KCA]"
Andy Leonard,"[BS1, BSN, CN1, WS3]"
Andy Marte,"[ARI, ATL, CLE]"
Andy McGaffigan,"[CIN, KCA, MON, NYA, SFN]"
Andy Messersmith,"[ATL, CAL, LAN, NYA]"
Andy Pafko,"[BRO, CHN, ML1]"
Andy Phillips,"[CIN, NYA, NYN]"
Andy Sheets,"[ANA, BOS, SDN, SEA, TBA]"
Andy Sommers,"[BSN, CHN, CL4, IN3, NY1, NY4]"
Andy Stankiewicz,"[ARI, HOU, MON, NYA]"
Andy Tomberlin,"[BOS, DET, NYN, OAK, PIT]"
Andy Tracy,"[COL, MON, PHI]"
Andy Van Slyke,"[BAL, PHI, PIT, SLN]"
Angel Berroa,"[KCA, LAN, NYA, NYN]"
Angel Bravo,"[CHA, CIN, SDN]"
Angel Echevarria,"[CHN, COL, MIL]"
Angel Pagan,"[CHN, NYN, SFN]"
Angel Salazar,"[CHN, KCA, MON]"
Angel Sanchez,"[BOS, CHA, HOU, KCA]"
Anthony Recker,"[CHN, NYN, OAK]"
Anthony Telford,"[BAL, MON, TEX]"
Anthony Young,"[CHN, HOU, NYN]"
Antonio Alfonseca,"[ATL, CHN, FLO, PHI, TEX]"
Antonio Osuna,"[CHA, LAN, NYA, SDN, WAS]"
Antonio Perez,"[LAN, OAK, TBA]"
Aquilino Lopez,"[COL, DET, PHI, TOR]"
Aramis Ramirez,"[CHN, MIL, PIT]"
Archie Campbell,"[CIN, NYA, WS1]"
Archie Corbin,"[BAL, FLO, KCA]"
Archie McKain,"[BOS, DET, SLA]"
Archie Reynolds,"[CAL, CHN, ML4]"
Archie Wilson,"[BOS, NYA, WS1]"
Arlie Latham,"[BFN, CHP, CIN, NY1, SL4, SLN, WSN]"
Armando Almanza,"[ARI, ATL, FLO]"
Armando Benitez,"[BAL, FLO, NYA, NYN, SEA, SFN, TOR]"
Armando Galarraga,"[ARI, DET, HOU, TEX]"
Armando Marsans,"[CIN, NYA, SLA, SLF]"
Armando Reynoso,"[ARI, ATL, COL, NYN]"
Armando Rios,"[CHA, PIT, SFN]"
Arnie Portocarrero,"[BAL, KC1, PHA]"
Arnold Earley,"[BOS, CHN, HOU]"
Art Allison,"[CL1, ELI, HR1, LS1, WS6]"
Art Butler,"[BSN, PIT, SLN]"
Art Ceccarelli,"[BAL, CHN, KC1]"
Art Croft,"[IN1, SL1, SL3]"
Art Ditmar,"[KC1, NYA, PHA]"
Art Fowler,"[CIN, LAA, LAN]"
Art Fromme,"[CIN, NY1, SLN]"
Art Griggs,"[BRF, CLE, DET, SLA]"
Art Herring,"[BRO, CHA, DET, PIT]"
Art Houtteman,"[BAL, CLE, DET]"
Art Howe,"[HOU, PIT, SLN]"
Art Jahn,"[CHN, NY1, PHI]"
Art Kruger,"[BSN, CIN, CLE, KCF]"
Art Kusnyer,"[CAL, CHA, KCA, ML4]"
Art Nehf,"[BSN, CHN, CIN, NY1]"
Art Schult,"[CHN, CIN, NYA, WS1]"
Art Shamsky,"[CHN, CIN, NYN, OAK]"
Art Shires,"[BSN, CHA, WS1]"
Art Weaver,"[CHA, PIT, SLA, SLN]"
Art Whitney,"[CN3, DTN, NY1, NYP, PIT, PRO, PT1, SL4, WOR]"
Art Wilson,"[BSN, CHF, CHN, CLE, NY1, PIT]"
Arthur Irwin,"[BS2, BSP, PHI, PRO, WOR, WS8]"
Arthur Rhodes,"[BAL, CIN, CLE, FLO, OAK, PHI, SEA, SLN]"
Asa Brainard,"[BL1, MID, WS3]"
Atlee Hammaker,"[CHA, KCA, SDN, SFN]"
Aubrey Gatewood,"[ATL, CAL, LAA]"
Aubrey Huff,"[BAL, DET, HOU, SFN, TBA]"
Augie Galan,"[BRO, CHN, CIN, NY1, PHA]"
Augie Ojeda,"[ARI, CHN, MIN]"
Aurelio Lopez,"[DET, HOU, KCA, SLN]"
Aurelio Monteagudo,"[CAL, CHA, HOU, KC1, KCA]"
Aurelio Rodriguez,"[BAL, CAL, CHA, DET, NYA, SDN, WS2]"
Austin Kearns,"[CIN, CLE, MIA, NYA, WAS]"
B. J. Ryan,"[BAL, CIN, TOR]"
B. J. Surhoff,"[ATL, BAL, ML4]"
Babe Barna,"[BOS, NY1, PHA]"
Babe Birrer,"[BAL, DET, LAN]"
Babe Borton,"[CHA, NYA, SLA, SLF]"
Babe Dahlgren,"[BOS, BRO, BSN, CHN, NYA, PHI, PIT, SLA]"
Babe Herman,"[BRO, CHN, CIN, DET, PIT]"
Babe Phelps,"[BRO, CHN, PIT, WS1]"
Babe Pinelli,"[CHA, CIN, DET]"
Babe Ruth,"[BOS, BSN, NYA]"
Babe Young,"[CIN, NY1, SLN]"
Baby Doll Jacobson,"[BOS, CLE, DET, PHA, SLA]"
Bake McBride,"[CLE, PHI, SLN]"
Baldy Louden,"[BUF, CIN, DET, NYA]"
Balor Moore,"[CAL, MON, TOR]"
Barney Gilligan,"[BR2, CL2, DTN, PRO, WS8]"
Barney McCosky,"[CIN, CLE, DET, PHA]"
Barney McLaughlin,"[KCU, PHI, SR2]"
Barney Schultz,"[CHN, DET, SLN]"
Barry Bonnell,"[ATL, SEA, TOR]"
Barry Foote,"[CHN, MON, NYA, PHI]"
Barry Jones,"[CHA, MON, NYN, PHI, PIT]"
Barry Latman,"[CAL, CHA, CLE, HOU, LAA]"
Barry Lyons,"[CAL, CHA, LAN, NYN]"
Barry Manuel,"[ARI, MON, NYN, TEX]"
Barry McCormick,"[CHN, LS3, SLA, WS1]"
Barry Moore,"[CHA, CLE, WS2]"
Bartolo Colon,"[ANA, BOS, CHA, CLE, LAA, MON, NYA, NYN, OAK]"
Beals Becker,"[BSN, CIN, NY1, PHI, PIT]"
Beany Jacobson,"[BOS, SLA, WS1]"
Beau Bell,"[CLE, DET, SLA]"
Beauty McGowan,"[BSN, PHA, SLA]"
Ben Broussard,"[CLE, SEA, TEX]"
Ben Cantwell,"[BRO, BSN, NY1]"
Ben Chapman,"[BOS, BRO, CHA, CLE, NYA, PHI, WS1]"
Ben Davis,"[CHA, SDN, SEA]"
Ben Flowers,"[BOS, DET, PHI, SLN]"
Ben Ford,"[ARI, MIL, NYA]"
Ben Francisco,"[CLE, HOU, NYA, PHI]"
Ben Grieve,"[CHN, MIL, OAK, TBA]"
Ben Johnson,"[CHN, NYN, SDN]"
Ben Oglivie,"[BOS, DET, ML4]"
Ben Paschal,"[BOS, CLE, NYA]"
Ben Sanders,"[LS3, PH4, PHI, PHP]"
Ben Sheets,"[ATL, MIL, OAK]"
Ben Shields,"[BOS, NYA, PHI]"
Ben Stephens,"[BLN, CIN, WSN]"
Ben Taylor,"[CIN, DET, ML1, SLA]"
Ben VanRyn,"[CAL, CHN, SDN, TOR]"
Ben Wade,"[BRO, CHN, PIT, SLN]"
Ben Weber,"[ANA, CIN, SFN]"
Bengie Molina,"[ANA, LAA, SFN, TEX, TOR]"
Benito Santiago,"[CHN, CIN, FLO, KCA, PHI, PIT, SDN, SFN, TOR]"
Bennie Tate,"[BOS, CHA, CHN, WS1]"
Benny Agbayani,"[BOS, COL, NYN]"
Benny Ayala,"[BAL, CLE, NYN, SLN]"
Benny Kauff,"[BRF, IND, NY1, NYA]"
Benny Meyer,"[BLF, BRO, BUF, PHI]"
Bernard Gilkey,"[ARI, ATL, BOS, NYN, SLN]"
Bernie Allen,"[MIN, MON, NYA, WS2]"
Bernie Carbo,"[BOS, CIN, CLE, ML4, PIT, SLN]"
Bernie Friberg,"[BOS, CHN, PHI]"
Bernie Neis,"[BRO, BSN, CHA, CLE]"
Bernie Williams,"[NYA, SDN, SFN]"
Bert Abbey,"[BRO, CHN, WSN]"
Bert Blyleven,"[CAL, CLE, MIN, PIT, TEX]"
Bert Campaneris,"[CAL, KC1, NYA, OAK, TEX]"
Bert Cole,"[CHA, CLE, DET]"
Bert Cunningham,"[BFP, BL2, BL3, BR3, CHN, LS3, PHP]"
Bert Gallia,"[PHI, SLA, WS1]"
Bert Haas,"[BRO, CHA, CIN, NY1, PHI]"
Bert Humphries,"[CHN, CIN, PHI]"
Bert Husting,"[BOS, MLA, PHA, PIT]"
Bert Inks,"[BLN, BRO, CIN, LS3, PHI, WSN]"
Bert Maxwell,"[BRF, NY1, PHA, PIT]"
Bert Myers,"[PHI, SLN, WSN]"
Bert Niehoff,"[CIN, NY1, PHI, SLN]"
Bert Roberge,"[CHA, HOU, MON]"
Biff Schlitzer,"[BOS, BUF, PHA]"
Bill Almon,"[CHA, MON, NYN, OAK, PHI, PIT, SDN]"
Bill Bailey,"[BLF, CHF, DET, NYA, SLA, SLN]"
Bill Baker,"[CIN, PIT, SLN]"
Bill Barrett,"[BL1, BOS, CHA, FW1, PHA, WS1, WS3]"
Bill Bayne,"[BOS, CLE, SLA]"
Bill Bean,"[DET, LAN, SDN]"
Bill Bernhard,"[CLE, PHA, PHI]"
Bill Bishop,"[CHN, PHA, PIT, PT1]"
Bill Boyd,"[BR2, HR1, NY2]"
Bill Bradley,"[BRF, CHN, CLE, KCF]"
Bill Buckner,"[BOS, CAL, CHN, KCA, LAN]"
Bill Burns,"[CHA, CIN, DET, PHI, WS1]"
Bill Butler,"[CLE, IN2, KCA, MIN]"
Bill Campbell,"[BOS, CHN, DET, MIN, MON, PHI, SLN]"
Bill Castro,"[KCA, ML4, NYA]"
Bill Caudill,"[CHN, OAK, SEA, TOR]"
Bill Chappelle,"[BRF, BSN, CIN]"
Bill Cissell,"[BOS, CHA, CLE, NY1, PHA]"
Bill Collins,"[BRO, BSN, BUF, CHN, CL4, NY4, PH4]"
Bill Connelly,"[CHA, DET, NY1, PHA]"
Bill Conroy,"[BOS, PHA, WS1]"
