PlayerName,Team
Dick Johnston,"[BSN, BSP, CN3, NYP, RIC]"
Dick Kelley,"[ATL, ML1, SDN]"
Dick Kryhoski,"[BAL, DET, KC1, NYA, SLA]"
Dick Littlefield,"[BAL, BOS, CHA, CHN, DET, ML1, NY1, PIT, SLA, SLN]"
Dick Mulligan,"[BSN, PHI, WS1]"
Dick Nen,"[CHN, LAN, WS2]"
Dick Padden,"[PIT, SLA, SLN, WSN]"
Dick Phelan,"[BFN, BLU, SL5]"
Dick Radatz,"[BOS, CHN, CLE, DET, MON]"
Dick Robertson,"[BRO, CIN, WS1]"
Dick Ruthven,"[ATL, CHN, PHI]"
Dick Schofield,"[BOS, CAL, LAN, ML4, NYA, NYN, PIT, SFN, SLN, TOR]"
Dick Scott,"[CHN, CIN, LAN, OAK]"
Dick Selma,"[CAL, CHN, ML4, NYN, PHI, SDN]"
Dick Siebert,"[BRO, PHA, SLN]"
Dick Simpson,"[CAL, CIN, HOU, LAA, NYA, SE1, SLN]"
Dick Sisler,"[CIN, PHI, SLN]"
Dick Smith,"[LAN, NYN, PIT, WS2]"
Dick Starr,"[NYA, SLA, WS1]"
Dick Stigman,"[BOS, CLE, MIN]"
Dick Stuart,"[BOS, CAL, LAN, NYN, PHI, PIT]"
Dick Tidrow,"[CHA, CHN, CLE, NYA, NYN]"
Dick Wakefield,"[DET, NY1, NYA]"
Dick Weik,"[CLE, DET, WS1]"
Dick Williams,"[BAL, BOS, BRO, CLE, KC1]"
Dickey Pearce,"[BR2, NY2, SL2, SL3]"
Dickie Noles,"[BAL, CHN, CLE, DET, PHI, TEX]"
Dickie Thon,"[CAL, HOU, ML4, PHI, SDN, TEX]"
Diego Segui,"[BOS, KC1, OAK, SE1, SEA, SLN, WS2]"
Dion James,"[ATL, CLE, ML4, NYA]"
Dioner Navarro,"[CHN, CIN, LAN, NYA, TBA, TOR]"
Dixie Davis,"[CHA, CIN, PHI, SLA]"
Dixie Howell,"[BRO, CHA, CIN, CLE, PIT]"
Dixie Walker,"[BRO, CHA, DET, NYA, PIT, WS1]"
Dizzy Dean,"[CHN, SLA, SLN]"
Dizzy Trout,"[BAL, BOS, DET]"
Dmitri Young,"[CIN, DET, SLN, WAS]"
Doc Bushong,"[BR2, BR3, BRO, CL2, PHN, SL4, WOR]"
Doc Casey,"[BRO, CHN, DET, WSN]"
Doc Cramer,"[BOS, DET, PHA, WS1]"
Doc Crandall,"[BSN, NY1, SLA, SLF, SLN]"
Doc Edwards,"[CLE, KC1, NYA, PHI]"
Doc Farrell,"[BOS, BSN, CHN, NY1, NYA, SLN]"
Doc Gessler,"[BOS, BRO, CHN, DET, WS1]"
Doc Johnston,"[CIN, CLE, PHA, PIT]"
Doc Lavan,"[PHA, SLA, SLN, WS1]"
Doc Marshall,"[BRO, BSN, CHN, NY1, PHI, SLN]"
Doc McJames,"[BLN, BRO, WSN]"
Doc Medich,"[ML4, NYA, NYN, OAK, PIT, SEA, TEX]"
Doc Miller,"[BSN, CHN, CIN, PHI]"
Doc Newton,"[BRO, CIN, NYA]"
Doc Powers,"[LS3, NYA, PHA, WSN]"
Doc Prothro,"[BOS, CIN, WS1]"
Doc Watson,"[CHF, CHN, SLF]"
Dock Ellis,"[NYA, NYN, OAK, PIT, TEX]"
Dode Paskert,"[CHN, CIN, PHI]"
Doggie Miller,"[LS3, PIT, PT1, SLN]"
Dolf Luque,"[BRO, BSN, CIN, NY1]"
Dolph Camilli,"[BOS, BRO, CHN, PHI]"
Dom Zanni,"[CHA, CIN, SFN]"
Domingo Cedeno,"[CHA, PHI, SEA, TEX, TOR]"
Domingo Ramos,"[CAL, CHN, CLE, NYA, SEA, TOR]"
Don Aase,"[BAL, BOS, CAL, LAN, NYN]"
Don Baylor,"[BAL, BOS, CAL, MIN, NYA, OAK]"
Don Blasingame,"[CIN, KC1, SFN, SLN, WS2]"
Don Bollweg,"[KC1, NYA, PHA, SLN]"
Don Bosch,"[MON, NYN, PIT]"
Don Brennan,"[CIN, NY1, NYA]"
Don Buddin,"[BOS, DET, HOU]"
Don Cardwell,"[ATL, CHN, NYN, PHI, PIT]"
Don Carman,"[CIN, PHI, TEX]"
Don Carrithers,"[MIN, MON, SFN]"
Don Cooper,"[MIN, NYA, TOR]"
Don Demeter,"[BOS, BRO, CLE, DET, LAN, PHI]"
Don Ferrarese,"[BAL, CHA, CLE, PHI, SLN]"
Don Gutteridge,"[BOS, PIT, SLA, SLN]"
Don Hahn,"[MON, NYN, PHI, SDN, SLN]"
Don Heffner,"[DET, NYA, PHA, SLA]"
Don Hoak,"[BRO, CHN, CIN, PHI, PIT]"
Don Hood,"[BAL, CLE, KCA, NYA, SLN]"
Don Johnson,"[BAL, CHA, CHN, NYA, SFN, SLA, WS1]"
Don Kessinger,"[CHA, CHN, SLN]"
Don Kirkwood,"[CAL, CHA, TOR]"
Don Kolloway,"[CHA, DET, PHA]"
Don Landrum,"[CHN, PHI, SFN, SLN]"
Don Larsen,"[BAL, CHA, CHN, HOU, KC1, NYA, SFN, SLA]"
Don Lee,"[CAL, CHN, DET, HOU, LAA, MIN, WS1]"
Don Lenhardt,"[BAL, BOS, CHA, DET, SLA]"
Don Leppert,"[BAL, PIT, WS2]"
Don Liddle,"[ML1, NY1, SLN]"
Don Lock,"[BOS, PHI, WS2]"
Don Lund,"[BRO, DET, SLA]"
Don McMahon,"[BOS, CHA, CLE, DET, HOU, ML1, SFN]"
Don Mincher,"[CAL, MIN, OAK, SE1, TEX, WS1, WS2]"
Don Mossi,"[CHA, CLE, DET, KC1]"
Don Newcombe,"[BRO, CIN, CLE, LAN]"
Don Nottebart,"[CHN, CIN, HOU, ML1, NYA]"
Don Padgett,"[BRO, BSN, PHI, SLN]"
Don Pavletich,"[BOS, CHA, CIN]"
Don Robinson,"[CAL, PHI, PIT, SFN]"
Don Rose,"[CAL, NYN, SFN]"
Don Ross,"[BRO, CLE, DET]"
Don Rudolph,"[CHA, CIN, CLE, WS2]"
Don Schulze,"[CHN, CLE, NYA, NYN, SDN]"
Don Schwall,"[ATL, BOS, PIT]"
Don Shaw,"[MON, NYN, OAK, SLN]"
Don Slaught,"[CAL, CHA, KCA, NYA, PIT, SDN, TEX]"
Don Stanhouse,"[BAL, LAN, MON, TEX]"
Don Sutton,"[CAL, HOU, LAN, ML4, OAK]"
Don Taussig,"[HOU, SFN, SLN]"
Don Wengert,"[ATL, CHN, KCA, OAK, PIT, SDN]"
Don Williams,"[KC1, MIN, PIT]"
Don Zimmer,"[BRO, CHN, CIN, LAN, NYN, WS2]"
Donell Nixon,"[BAL, SEA, SFN]"
Donn Clendenon,"[MON, NYN, PIT, SLN]"
Donn Pall,"[CHA, CHN, FLO, NYA, PHI]"
Donne Wall,"[ANA, HOU, NYN, SDN]"
Donnie Hill,"[CAL, CHA, MIN, OAK]"
Donnie Moore,"[ATL, CAL, CHN, ML4, SLN]"
Donnie Murphy,"[CHN, FLO, KCA, MIA, OAK, TEX]"
Donnie Sadler,"[ARI, BOS, CIN, KCA, TEX]"
Donnie Scott,"[CIN, SEA, TEX]"
Donovan Osborne,"[CHN, NYA, SLN]"
Dontrelle Willis,"[ARI, CIN, DET, FLO]"
Dooley Womack,"[HOU, NYA, OAK, SE1]"
Dots Miller,"[PHI, PIT, SLN]"
Doug Allison,"[BL2, BR1, ELI, HAR, HR1, NY2, PRO, TRO, WS3]"
Doug Bair,"[CIN, DET, OAK, PHI, PIT, SLN, TOR]"
Doug Baird,"[BRO, NY1, PHI, PIT, SLN]"
Doug Bird,"[BOS, CHN, KCA, NYA, PHI]"
Doug Bochtler,"[DET, KCA, LAN, SDN]"
Doug Brocail,"[DET, HOU, SDN, TEX]"
Doug Capilla,"[CHN, CIN, SLN]"
Doug Clemens,"[CHN, PHI, SLN]"
Doug Corbett,"[BAL, CAL, MIN]"
Doug Creek,"[CHN, DET, SEA, SFN, SLN, TBA, TOR]"
Doug Dascenzo,"[CHN, SDN, TEX]"
Doug Davis,"[ARI, CAL, CHN, MIL, TEX, TOR]"
Doug DeCinces,"[BAL, CAL, SLN]"
Doug Drabek,"[BAL, CHA, HOU, NYA, PIT]"
Doug Fister,"[DET, SEA, WAS]"
Doug Flynn,"[CIN, DET, MON, NYN, TEX]"
Doug Frobel,"[CLE, MON, PIT]"
Doug Glanville,"[CHN, PHI, TEX]"
Doug Henry,"[HOU, KCA, ML4, NYN, SFN]"
Doug Howard,"[CAL, CLE, SLN]"
Doug Jones,"[BAL, CHN, CLE, HOU, MIL, ML4, OAK, PHI]"
Doug Linton,"[BAL, CAL, KCA, NYN, TOR]"
Doug McWeeny,"[BRO, CHA, CIN]"
Doug Mientkiewicz,"[BOS, KCA, LAN, MIN, NYA, NYN, PIT]"
Doug Mirabelli,"[BOS, SDN, SFN, TEX]"
Doug Rader,"[HOU, SDN, TOR]"
Doug Sisk,"[ATL, BAL, NYN]"
Doug Slaten,"[ARI, PIT, WAS]"
Doug Strange,"[CHN, DET, MON, PIT, SEA, TEX]"
Doug Taitt,"[BOS, CHA, PHI]"
Doug Waechter,"[FLO, KCA, TBA]"
Doyle Alexander,"[ATL, BAL, DET, LAN, NYA, SFN, TEX, TOR]"
Drew Hall,"[CHN, MON, TEX]"
Drew Stubbs,"[CIN, CLE, COL]"
Drew Sutton,"[BOS, CIN, CLE, PIT]"
Duane Pillette,"[BAL, NYA, PHI, SLA]"
Duane Walker,"[CIN, SLN, TEX]"
Duaner Sanchez,"[ARI, LAN, NYN, PIT, SDN]"
Ducky Hemp,"[LS2, PIT, SR2]"
Ducky Holmes,"[BLN, CHA, DET, LS3, NY1, SLN, WS1]"
Dude Esterbrook,"[BFN, BRO, CL2, IN3, LS2, NY1, NY4]"
Duff Cooley,"[BSN, DET, PHI, PIT, SLN]"
Duffy Dyer,"[DET, MON, NYN, PIT]"
Duffy Lewis,"[BOS, NYA, WS1]"
Duke Carmel,"[NYA, NYN, SLN]"
Duke Esper,"[BLN, PH4, PHI, PIT, SLN, WSN]"
Duke Farrell,"[BOS, BRO, BS2, CHN, CHP, NY1, PIT, WSN]"
Duke Kenworthy,"[KCF, SLA, WS1]"
Duke Maas,"[DET, KC1, NYA]"
Duke Sims,"[CLE, DET, LAN, NYA, TEX]"
Duke Snider,"[BRO, LAN, NYN, SFN]"
Dummy Hoy,"[BFP, CHA, CIN, LS3, SL4, WS8, WSN]"
Dummy Leitner,"[CHA, CLE, NY1, PHA]"
Dupee Shaw,"[BSU, DTN, PRO, WS8]"
Dustan Mohr,"[BOS, COL, MIN, SFN, TBA]"
Duster Mails,"[BRO, CLE, SLN]"
Dustin Hermanson,"[BOS, CHA, MON, SDN, SFN, SLN]"
Dustin Moseley,"[LAA, NYA, SDN]"
Dusty Baker,"[ATL, LAN, OAK, SFN]"
Dusty Cooke,"[BOS, CIN, NYA]"
Dusty Miller,"[BL2, CHN, CIN, SL4, SLN]"
Dutch Henry,"[BRO, CHA, NY1, SLA]"
Dutch Leonard,"[BOS, BRO, CHN, DET, PHI, WS1]"
Dutch Meyer,"[CHN, CLE, DET]"
Dutch Ruether,"[BRO, CHN, CIN, NYA, WS1]"
Dutch Zwilling,"[CHA, CHF, CHN]"
Dwain Anderson,"[CLE, OAK, SDN, SLN]"
Dwayne Henry,"[ATL, CIN, DET, HOU, SEA, TEX]"
Dwayne Murphy,"[DET, OAK, PHI]"
Dwight Gooden,"[CLE, HOU, NYA, NYN, TBA]"
Dwight Smith,"[ATL, BAL, CAL, CHN]"
Dyar Miller,"[BAL, CAL, NYN, TOR]"
Earl Averill,"[BSN, CHA, CHN, CLE, DET, LAA, PHI]"
Earl Battey,"[CHA, MIN, WS1]"
Earl Blackburn,"[BSN, CHN, CIN, PIT]"
Earl Caldwell,"[BOS, CHA, PHI, SLA]"
Earl Grace,"[CHN, PHI, PIT]"
Earl Hamilton,"[DET, PHI, PIT, SLA]"
Earl Harrist,"[CHA, CIN, DET, SLA, WS1]"
Earl Moore,"[BUF, CHN, CLE, NYA, PHI]"
Earl Moseley,"[BOS, CIN, IND, NEW]"
Earl Rapp,"[CHA, DET, NY1, SLA, WS1]"
Earl Sheely,"[BSN, CHA, PIT]"
Earl Smith,"[BSN, CHN, NY1, PIT, SLA, SLN, WS1]"
Earl Stephenson,"[BAL, CHN, ML4]"
Earl Torgeson,"[BSN, CHA, DET, NYA, PHI]"
Earl Webb,"[BOS, CHA, CHN, DET, NY1]"
Earl Whitehill,"[CHN, CLE, DET, WS1]"
Earl Williams,"[ATL, BAL, BSN, MON, OAK]"
Earl Wilson,"[BOS, DET, SDN]"
Earl Yingling,"[BRO, CIN, CLE, WS1]"
Early Wynn,"[CHA, CLE, WS1]"
Ebba St. Claire,"[BSN, ML1, NY1]"
Ed Abbaticchio,"[BSN, PHI, PIT]"
Ed Andrews,"[BRP, CN3, IN3, PHI]"
Ed Baecht,"[CHN, PHI, SLA]"
Ed Bailey,"[CAL, CHN, CIN, ML1, SFN]"
Ed Beecher,"[BFP, PH4, PIT, WS8, WS9]"
Ed Bouchee,"[CHN, NYN, PHI]"
Ed Brandt,"[BRO, BSN, PIT]"
Ed Brinkman,"[DET, NYA, SLN, TEX, WS2]"
Ed Callahan,"[BSU, KCU, SLU]"
Ed Caskin,"[NY1, SL5, TRN]"
Ed Cogswell,"[BSN, TRN, WOR]"
Ed Crane,"[BFN, BRO, BSU, CIN, CN3, NY1, NYP, PRO, WS8]"
Ed Crosby,"[CIN, CLE, SLN]"
Ed Cushman,"[BFN, MLU, NY4, PH4, TL2]"
Ed Daily,"[BR4, CL6, LS2, NY1, PHI, WS8, WS9]"
Ed Delahanty,"[CLP, PHI, WS1]"
Ed Farmer,"[BAL, CHA, CLE, DET, ML4, OAK, PHI, TEX]"
Ed Figueroa,"[CAL, NYA, OAK, TEX]"
Ed Fitz Gerald,"[CLE, PIT, WS1]"
Ed Glenn,"[BSN, CHN, KC2, NY1, PT1, RIC, WSN]"
Ed Glynn,"[CLE, DET, MON, NYN]"
Ed Goodson,"[ATL, LAN, SFN]"
Ed Greer,"[BL2, BR3, PH4]"
Ed Gremminger,"[BSN, CL4, DET]"
Ed Hemingway,"[NY1, PHI, SLA]"
Ed Herrmann,"[CAL, CHA, HOU, MON, NYA]"
Ed Heusser,"[CIN, PHA, PHI, SLN]"
Ed Holley,"[CHN, PHI, PIT]"
Ed Jurak,"[BOS, OAK, SFN]"
Ed Karger,"[BOS, CIN, PIT, SLN]"
Ed Kennedy,"[BR3, CNU, NY4]"
Ed Kirkpatrick,"[CAL, KCA, LAA, ML4, PIT, TEX]"
Ed Klepfer,"[CHA, CLE, NYA]"
Ed Klieman,"[CHA, CLE, PHA, WS1]"
Ed Knouff,"[BL2, CL3, PH4, SL4]"
Ed Konetchy,"[BRO, BSN, PHI, PIT, PTF, SLN]"
Ed Lafitte,"[BRF, BUF, DET]"
Ed Lennox,"[BRO, CHN, PHA, PTF]"
Ed Madjeski,"[CHA, NY1, PHA]"
Ed McFarland,"[BOS, CHA, CL4, PHI, SLN]"
Ed McKean,"[CL3, CL4, SLN]"
Ed McKenna,"[PH2, SL3, WSU]"
Ed Merrill,"[IN2, LS2, WOR]"
Ed Mickelson,"[CHN, SLA, SLN]"
Ed Miller,"[CLE, SLA, TL1]"
Ed Morris,"[BOS, CHN, CL5, PIT, PT1, PTP]"
Ed Nunez,"[DET, ML4, NYN, OAK, SEA, TEX]"
Ed Phelps,"[BRO, CIN, PIT, SLN]"
Ed Poole,"[BRO, CIN, PIT]"
Ed Rakow,"[ATL, DET, KC1, LAN]"
Ed Reulbach,"[BRO, BSN, CHN, NEW]"
Ed Roebuck,"[BRO, LAN, PHI, WS2]"
Ed Romero,"[ATL, BOS, DET, ML4]"
Ed Sadowski,"[ATL, BOS, LAA]"
Ed Sauer,"[BSN, CHN, SLN]"
Ed Seward,"[CL4, PH4, PRO]"
Ed Sicking,"[CHN, CIN, NY1, PHI, PIT]"
Ed Somerville,"[LS1, NH1, PH3]"
Ed Spiezio,"[CHA, SDN, SLN]"
Ed Sprague,"[BOS, CIN, ML4, OAK, PIT, SDN, SEA, SLN, TOR]"
Ed Swartwood,"[BFN, BR3, PIT, PT1, TL2]"
Ed Taubensee,"[CIN, CLE, HOU]"
Ed Vande Berg,"[CLE, LAN, SEA, TEX]"
Ed Vosberg,"[ARI, FLO, MON, OAK, PHI, SDN, SFN, TEX]"
Ed Wells,"[DET, NYA, SLA]"
Ed Whiting,"[BL2, LS2, WS8]"
Ed Whitson,"[CLE, NYA, PIT, SDN, SFN]"
Edd Roush,"[CHA, CIN, IND, NEW, NY1]"
Eddie Ainsmith,"[BRO, DET, NY1, SLN, WS1]"
Eddie Bockman,"[CLE, NYA, PIT]"
Eddie Booth,"[BR2, ELI, MID, NY2, NY3]"
Eddie Bressoud,"[BOS, NY1, NYN, SFN, SLN]"
Eddie Brown,"[BRO, BSN, NY1]"
Eddie Burke,"[CIN, ML3, NY1, PHI, PIT]"
Eddie Carnett,"[BSN, CHA, CLE]"
Eddie Cicotte,"[BOS, CHA, DET]"
Eddie Eayrs,"[BRO, BSN, PIT]"
Eddie Fisher,"[BAL, CAL, CHA, CLE, SFN, SLN]"
Eddie Foster,"[BOS, NYA, SLA, WS1]"
Eddie Fusselback,"[BLU, LS2, PH4, SL4]"
Eddie Grant,"[CIN, CLE, NY1, PHI]"
Eddie Guardado,"[CIN, MIN, SEA, TEX]"
Eddie Joost,"[BOS, BSN, CIN, PHA]"
Eddie Kasko,"[BOS, CIN, HOU, SLN]"
Eddie Lake,"[BOS, DET, SLN]"
Eddie Leon,"[CHA, CLE, NYA]"
Eddie Lopat,"[BAL, CHA, NYA]"
Eddie Mathews,"[ATL, BSN, DET, HOU, ML1]"
Eddie Mayo,"[BSN, DET, NY1, PHA]"
Eddie Miksis,"[BAL, BRO, CHN, CIN, SLN]"
Eddie Miller,"[ATL, BSN, CIN, DET, PHI, SDN, SLN, TEX]"
Eddie Moore,"[BRO, BSN, CLE, NY1, PIT]"
Eddie Mulligan,"[CHA, CHN, PIT]"
Eddie Murphy,"[CHA, PHA, PIT]"
Eddie Murray,"[ANA, BAL, CLE, LAN, NYN]"
Eddie Onslow,"[CLE, DET, WS1]"
Eddie Oropesa,"[ARI, PHI, SDN]"
Eddie Pellagrini,"[BOS, CIN, PHI, PIT, SLA]"
Eddie Perez,"[ATL, CLE, MIL]"
Eddie Phillips,"[BSN, CLE, DET, NYA, PIT, SLN, WS1]"
Eddie Plank,"[PHA, SLA, SLF]"
Eddie Robinson,"[BAL, CHA, CLE, DET, KC1, NYA, PHA, WS1]"
Eddie Smith,"[BOS, CHA, PHA]"
Eddie Solomon,"[ATL, CHA, CHN, LAN, PIT, SLN]"
Eddie Stack,"[BRO, CHN, PHI]"
Eddie Stanky,"[BRO, BSN, CHN, NY1, SLN]"
Eddie Waitkus,"[BAL, CHN, PHI]"
Eddie Watt,"[BAL, CHN, PHI]"
Eddie Williams,"[CHA, CLE, DET, LAN, PIT, SDN]"
Eddie Yost,"[DET, LAA, WS1]"
Eddie Zosky,"[FLO, HOU, MIL, TOR]"
Edgar Gonzalez,"[ARI, COL, HOU, OAK, SDN, TOR]"
Edgar Renteria,"[ATL, BOS, CIN, DET, FLO, SFN, SLN]"
Edgar Smith,"[BSN, CL4, PHI, PRO, WS7]"
Edgardo Alfonzo,"[LAA, NYN, SFN, TOR]"
Edinson Volquez,"[CIN, LAN, PIT, SDN, TEX]"
Eduardo Perez,"[CAL, CIN, CLE, SEA, SLN, TBA]"
Edward Mujica,"[BOS, CLE, FLO, MIA, SDN, SLN]"
Edwin Jackson,"[ARI, CHA, CHN, DET, LAN, TBA, WAS]"
Egyptian Healy,"[BL3, BLN, CHN, IN3, LS3, SL5, TL2, WS8]"
Einar Diaz,"[CLE, LAN, MON, SLN, TEX]"
Elden Auker,"[BOS, DET, SLA]"
Eli Marrero,"[ATL, BAL, COL, KCA, NYN, SLN]"
Eli Whiteside,"[BAL, CHN, SFN]"
Elias Sosa,"[ATL, DET, LAN, MON, OAK, SDN, SFN, SLN]"
Eliezer Alfonzo,"[COL, SDN, SEA, SFN]"
Elizardo Ramirez,"[CIN, PHI, TEX]"
Ellie Rodriguez,"[CAL, KCA, LAN, ML4, NYA]"
Elliot Johnson,"[ATL, CLE, KCA, TBA]"
Elliott Maddox,"[BAL, DET, NYA, NYN, TEX, WS2]"
Ellis Burks,"[BOS, CHA, CLE, COL, SFN]"
Ellis Burton,"[CHN, CLE, SLN]"
Ellis Kinder,"[BOS, CHA, SLA, SLN]"
Ellis Valentine,"[CAL, MON, NYN, TEX]"
Elmer Cleveland,"[CL6, CNU, NY1, PIT]"
Elmer Dessens,"[ARI, ATL, CIN, COL, KCA, LAN, MIL, NYN, PIT]"
Elmer Flick,"[CLE, PHA, PHI]"
Elmer Foster,"[CHN, NY1, NY4]"
Elmer Jacobs,"[CHA, CHN, PHI, PIT, SLN]"
Elmer Knetzer,"[BRO, BSN, CIN, PTF]"
Elmer Koestner,"[CHN, CIN, CLE]"
Elmer Miller,"[BOS, NYA, PHI, SLN]"
Elmer Myers,"[BOS, CLE, PHA]"
Elmer Singleton,"[BSN, CHN, PIT, WS1]"
Elmer Smith,"[BOS, CIN, CLE, NYA, WS1]"
Elmer Steele,"[BOS, BRO, PIT]"
Elmer Valo,"[BRO, CLE, KC1, LAN, MIN, NYA, PHA, PHI, WS1]"
Elmer Yoter,"[CHN, CLE, PHA]"
Elrod Hendricks,"[BAL, CHN, NYA]"
Emil Brown,"[KCA, NYN, OAK, PIT, SDN]"
Emil Frisk,"[CIN, DET, SLA]"
Emil Gross,"[CHU, PHI, PRO]"
Emil Verban,"[BSN, CHN, PHI, SLN]"
Emilio Bonifacio,"[ARI, CHN, FLO, KCA, MIA, TOR, WAS]"
Emilio Palmero,"[BSN, NY1, SLA, WS1]"
Emmet Heidrick,"[CL4, SLA, SLN]"
Emmett O'Neill,"[BOS, CHA, CHN]"
Emmett Seery,"[BLU, BRP, CN3, IN3, KCU, LS3, SL5]"
Endy Chavez,"[BAL, KCA, MON, NYN, PHI, SEA, TEX, WAS]"
Enos Cabell,"[BAL, DET, HOU, LAN, SFN]"
Enos Slaughter,"[KC1, ML1, NYA, SLN]"
Enrique Gonzalez,"[ARI, BOS, DET, SDN]"
Enrique Wilson,"[CHN, CLE, NYA, PIT]"
Ensign Cottrell,"[BSN, CHN, NYA, PHA, PIT]"
Erasmo Ramirez,"[FLO, OAK, SEA, TEX]"
Eric Anthony,"[CIN, COL, HOU, LAN, SEA]"
Eric Bell,"[BAL, CLE, HOU]"
Eric Bullock,"[HOU, MIN, MON, PHI]"
Eric Byrnes,"[ARI, BAL, COL, OAK, SEA]"
Eric Chavez,"[ARI, NYA, OAK]"
Eric Davis,"[BAL, CIN, DET, LAN, SFN, SLN]"
Eric Erickson,"[DET, NY1, WS1]"
Eric Gagne,"[BOS, LAN, MIL, TEX]"
Eric Gunderson,"[BOS, NYN, SEA, SFN, TEX, TOR]"
Eric Hacker,"[MIN, PIT, SFN]"
Eric Hinske,"[ARI, ATL, BOS, NYA, PIT, TBA, TOR]"
Eric Karros,"[CHN, LAN, OAK]"
Eric King,"[CHA, CLE, DET]"
Eric Ludwick,"[FLO, OAK, SLN, TOR]"
Eric McNair,"[BOS, CHA, DET, PHA]"
Eric Milton,"[CIN, LAN, MIN, PHI]"
Eric Munson,"[DET, HOU, OAK, TBA]"
Eric O'Flaherty,"[ATL, OAK, SEA]"
Eric Owens,"[ANA, CIN, FLO, MIL, SDN]"
Eric Patterson,"[BOS, CHN, OAK, SDN]"
Eric Plunk,"[CLE, MIL, NYA, OAK]"
Eric Rasmussen,"[KCA, SDN, SLN]"
Eric Soderholm,"[CHA, MIN, NYA, TEX]"
Eric Stults,"[CHA, COL, LAN, SDN]"
Eric Valent,"[CIN, NYN, PHI]"
Eric Weaver,"[ANA, LAN, SEA]"
Eric Young,"[CHN, COL, LAN, MIL, NYN, SDN, SFN, TEX]"
Erik Bedard,"[BAL, BOS, HOU, PIT, SEA, TBA]"
Erik Hanson,"[BOS, CIN, SEA, TOR]"
Erik Kratz,"[PHI, PIT, TOR]"
Ernie Camacho,"[CLE, HOU, OAK, PIT, SFN, SLN]"
Ernie Courtney,"[BLA, BSN, DET, NYA, PHI]"
Ernie Johnson,"[BAL, BSN, CHA, ML1, NYA, SLA, SLF]"
Ernie Koy,"[BRO, CIN, PHI, SLN]"
Ernie Krueger,"[BRO, CIN, CLE, NY1, NYA]"
Ernie Lombardi,"[BRO, BSN, CIN, NY1]"
Ernie Riles,"[BOS, HOU, ML4, OAK, SFN]"
Ernie Shore,"[BOS, NY1, NYA]"
Ernie Whitt,"[ATL, BAL, BOS, TOR]"
Ernie Young,"[ARI, CLE, DET, KCA, OAK]"
Erskine Mayer,"[CHA, PHI, PIT]"
Erve Beck,"[BRO, CIN, CLE, DET]"
Ervin Santana,"[ATL, KCA, LAA]"
Esmil Rogers,"[CLE, COL, TOR]"
Esteban Beltre,"[BOS, CHA, TEX]"
Esteban German,"[KCA, OAK, TEX]"
Esteban Loaiza,"[CHA, LAN, NYA, OAK, PIT, TEX, TOR, WAS]"
Esteban Yan,"[BAL, CIN, DET, LAA, SLN, TBA, TEX]"
Ethan Allen,"[CHN, CIN, NY1, PHI, SLA, SLN]"
Everett Booe,"[BUF, IND, PIT]"
Everett Mills,"[BL1, HAR, HR1, WS3]"
Everett Scott,"[BOS, CHA, CIN, NYA, WS1]"
Everett Stull,"[ATL, MIL, MON]"
Ewald Pyle,"[BSN, NY1, SLA, WS1]"
Ewell Blackwell,"[CIN, KC1, NYA]"
Ezequiel Carrera,"[CLE, DET, PHI]"
Ezra Sutton,"[BSN, CL1, PH1, PHN]"
F. P. Santangelo,"[LAN, MON, OAK, SFN]"
Fabian Kowalik,"[BSN, CHA, CHN, PHI]"
Farmer Steelman,"[BRO, LS3, PHA]"
Farmer Vaughn,"[CIN, CN2, CN3, LS2, ML3, NYP]"
Farmer Weaver,"[LS2, LS3, PIT]"
Fatty Briody,"[CL2, CNU, DTN, KC2, KCN, SL5, TRN]"
Fay Thomas,"[BRO, CLE, NY1, SLA]"
Faye Throneberry,"[BOS, LAA, WS1]"
Felipe Alou,"[ATL, ML1, ML4, MON, NYA, OAK, SFN]"
Felipe Crespo,"[PHI, SFN, TOR]"
Felipe Lira,"[DET, MON, SEA]"
Felipe Lopez,"[ARI, BOS, CIN, MIL, SLN, TOR, WAS]"
Felipe Paulino,"[CHA, COL, HOU, KCA]"
Felix Chouinard,"[BLF, BRF, CHA, PTF]"
Felix Fermin,"[CHN, CLE, PIT, SEA]"
Felix Heredia,"[CHN, CIN, FLO, NYA, NYN, TOR]"
Felix Jose,"[ARI, KCA, NYA, OAK, SLN]"
Felix Mackiewicz,"[CLE, PHA, WS1]"
Felix Mantilla,"[BOS, HOU, ML1, NYN]"
Felix Pie,"[BAL, CHN, PIT]"
Felix Rodriguez,"[ARI, CIN, LAN, NYA, PHI, SFN, WAS]"
Ferdie Schupp,"[BRO, CHA, NY1, SLN]"
Fergie Jenkins,"[BOS, CHN, PHI, TEX]"
Fergy Malone,"[CH2, PH1, PH2, PHN, PHU]"
Fernando Abad,"[HOU, OAK, WAS]"
Fernando Arroyo,"[DET, MIN, OAK]"
Fernando Cabrera,"[BAL, BOS, CLE]"
Fernando Gonzalez,"[KCA, NYA, PIT, SDN]"
Fernando Rodney,"[DET, LAA, SEA, TBA]"
Fernando Rodriguez,"[HOU, LAA, OAK]"
Fernando Tatis,"[BAL, MON, NYN, SLN, TEX]"
Fernando Valenzuela,"[BAL, CAL, LAN, PHI, SDN, SLN]"
Fernando Vina,"[DET, MIL, ML4, NYN, SEA, SLN]"
Ferris Fain,"[CHA, CLE, DET, PHA]"
